CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,CL (mL/min*kg),PUBMED_ID,JOURNAL,YEAR,VOLUME,ISSUE,FIRST_PAGE,Washed_SMILES,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
CHEMBL102830,o1c(ccc1-c1ccc(cc1)C(NOCC)=N)-c1ccc(cc1)C(NOCC)=N,T1/2,=,0.53299999,hr,20.477955,19846298,Bioorg. Med. Chem. Lett.,2009,19,23,6813,o1c(ccc1-c1ccc(cc1)C(NOCC)=N)-c1ccc(cc1)C(NOCC)=N,61.529034,0,0,4,6,4,0,17,0,53,4,8,29,18,82.678299,1.559968,0,0,22,0,0,24,0,4,3,0,0,1.3610325,-2.4083791,-0.63288009,0.70048171,2.3626277,-2.5094137,-0.50884902,0.80591482,2.4333136,-2.1646712,-0.47488502,0.85431087,2.6184049,30.664968,8,0.25806451,17,55,2,31,5,10,0.32258064,36,0,20.639618,16.41246,13.187716,15.104083,14.117723,9.3614788,6.9676313,9.3300295,0,0,0.72622913,20,0,-0.83912158,-0.38537744,0.081014521,2.490397,-1.1471174,-0.25916031,0.16445385,2.6275756,-0.51723367,-0.21202604,0.19305076,2.7955275,23.658689,12.142772,6.7383409,16.869438,8.5452166,4.696137,4.9707932,7,4,1,0,4.5780001,-7.6312099,11.282104,0,1,19,1,3,10,0,0,0,2.572623,-2.572623,0.076093897,0.17680046,34.426476,89.617989,16.917038,56.857178,0,0,0,62.005161,98.03923,0,0,10.679153,36.198326,2.503756,0.87874299,0.51425058,0.12125704,0.12125704,0.48574939,0,357.86307,209.42563,49.381237,49.381237,197.81868,0,0.5,1,0,0,0,0,1,0,0,0,1,0,407.24432,0,0,0,407.24432,0,10,0,3,0,0,0.37931034,4.34654,41.250168,4.6558404,22.437527,41.852516,6.37115,9.5073462,0,257.04456,0,66.652031,11.27608,31.944874,0,104.5941,6.37115,17.268791,176.43184,46.508358,66.652031,103.36,0.3796615,5.9541965,3.9735222,9.3640423,407.24432,540.40656,11.804719,0,0,21.770523,269.85297,41.801922,69.060219,392.45898,2787,42,144
CHEMBL107599,O(CCCN1CCCCC1C)c1cc2ncnc(N3CCN(CC3)C(=O)Nc3ccc(OC(C)C)cc3)c2cc1OC,T1/2,=,1.7,hr,6.4204412,19846298,Bioorg. Med. Chem. Lett.,2009,19,23,6813,O(CCCN1CCCCC1C)c1cc2ncnc(N3CCN(CC3)C(=O)Nc3ccc(OC(C)C)cc3)c2cc1OC,95.466888,0,0,3,4,7,0,16,0,86,1,8,42,29,128.93401,1.4992325,0,0,32,0,0,44,0,6,4,0,0,1.0383464,-2.8173993,-0.56401801,0.50224322,2.7283454,-2.8614638,-0.5180859,0.60918391,2.7739882,-2.5452676,-0.32006529,0.71711332,2.9952207,64.047112,11,0.23913044,17,90,1,46,4,12,0.26086956,72,0,29.476116,25.343388,20.974327,22.501425,20.406219,15.18188,9.3663664,10.906285,1,1,0.70957279,25,0,-0.85584521,-0.39687616,-0.017887695,2.8800085,-1.0119452,-0.33371741,0.10688184,2.9374204,-0.52616316,-0.19128619,0.13959575,3.1426542,33.365784,16.528093,9.2801905,26.67691,13.138708,7.3475742,8.3452415,10,1,0,2,3.9277401,-6.24017,16.34659,0,1,29,0,5,14,5,0,0,3.341738,-3.341738,0.096708842,0.10333536,213.91338,103.26047,53.609913,8.6190128,0,0,17.440542,169.06873,8.701313,0,0,24.932074,0,7.6481595,0.91761971,0.34643033,0.053657077,0.08238028,0.6535697,0.028723201,557.17279,210.35027,32.580231,50.020775,396.84332,17.440542,0.47999999,0.92307693,0,0,0,0,1,0,0,0,1,0,607.1936,0,0,0,607.1936,0,13,0,5,0,0,1,5.4229999,36.123978,62.660393,10.450618,131.56372,0,35.383869,0,127.36174,75.473625,144.65521,16.609871,23.862217,72.819351,3.1243138,26.180902,27.812519,198.11826,136.39368,135.36191,92.290001,0.29547828,6.523562,4.3603082,10.445848,607.1936,812.80176,32.44334,0,0,5.6825762,481.96552,53.421623,38.125919,576.742,7678,67,218
CHEMBL1076264,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@H]2[C@H]([C@@H]3CC[C@H]2C3)C=1O)Cc1ccc(F)cc1)C,T1/2,=,0.333,hr,32.777027,19674898,Bioorg. Med. Chem. Lett.,2009,19,18,5401,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@H]2[C@H]([C@@H]3CC[C@H]2C3)C=1O)Cc1ccc(F)cc1)C,76.238823,0,0,3,5,7,0,12,0,63,3,10,38,24,118.86605,1.8867627,0,0,25,0,1,25,0,4,6,0,2,1.2159057,-2.7430174,-0.63768435,0.60206217,2.9229493,-2.7634859,-0.55588901,0.7190308,2.9732621,-2.485028,-0.45101774,0.76145071,3.1732788,47.063175,5,0.11627907,12,68,3,43,4,5,0.11627907,53,0,26.982399,21.889616,14.67928,16.283728,17.909636,15.470188,8.0846224,9.9738941,4,0,0.86248577,17,0,-0.91531533,-0.42908144,0.050983429,3.0584779,-0.99425972,-0.38874012,0.12878327,3.1001298,-0.53880286,-0.20028415,0.17696042,3.3236344,28.135208,10.370242,5.3591681,23.873375,8.7585497,4.51158,5.5025296,10,3,1,1,2.9790001,-5.5145402,13.767092,0,1,30,0,6,4,3,0,0,3.066287,-3.066287,0.10070805,0.14425449,103.5964,68.639481,21.817003,30.829348,10.324173,12.949531,4.1846013,65.077194,44.83992,32.016521,2.5295215,43.925159,13.566921,7.9044313,0.7991026,0.45404494,0.14148958,0.2008974,0.54595506,0.059407815,369.3454,209.85966,65.396507,92.854813,252.34053,27.458305,0.47058824,0.8888889,0,0,0,0,1,0,0,0,1,0,462.2002,0,0,0,462.2002,0,9,0,6,0,0,1,3.2455001,0,141.47014,50.246689,25.385227,16.417963,56.850689,0,123.50229,56.605217,38.913185,13.80708,120.20559,33.264202,49.289368,15.596547,39.929245,198.54709,7.5867038,44.97266,145.24001,0.325683,6.4262648,3.7683527,10.217644,462.2002,650.01306,85.675171,0,0,13.757783,274.48291,44.351311,112.99988,560.62701,4469,68,222
CHEMBL1076304,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@@H]3CC[C@H]2C3)C=1O)CC1CCCCC1)C,T1/2,=,0.25,hr,43.659,19804969,Bioorg. Med. Chem. Lett.,2009,19,22,6452,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@@H]3CC[C@H]2C3)C=1O)CC1CCCCC1)C,80.349373,0,0,3,5,7,0,6,0,69,3,10,37,23,119.88201,1.7374204,0,0,25,0,0,32,0,4,6,0,2,1.2220825,-2.8309963,-0.58663642,0.58272666,2.926333,-2.8248122,-0.51700324,0.66150969,2.9737232,-2.5722582,-0.42844155,0.704584,3.1777129,53.512623,5,0.11904762,6,74,3,42,4,5,0.11904762,65,0,26.112156,22.315136,15.482763,16.413485,17.515789,16.33103,9.1344471,10.157398,4,0,0.82561672,16,0,-0.91534078,-0.41809374,0.047424078,3.1613004,-0.99470276,-0.37171924,0.12017697,3.1982319,-0.53896886,-0.19970182,0.16510965,3.413892,27.183674,10.123967,5.1377778,24.682898,9.1671057,4.6428914,6.1154256,10,3,1,1,3.1830001,-5.62603,13.784856,0,1,30,0,6,6,3,0,0,2.9553583,-2.9553583,0.1044881,0.14966905,159.04642,43.047169,12.796158,30.829348,10.324173,12.949531,4.1846013,55.761471,46.434052,32.016521,2.5295215,32.016521,13.566921,7.9044313,0.8253237,0.41050202,0.11542315,0.17467627,0.58949798,0.05925313,382.46066,190.22945,53.487877,80.946182,273.1774,27.458305,0.5,1,0,0,0,0,1,0,0,0,1,0,463.40683,0,0,0,463.40683,0,8,0,6,0,0,1,3.2200999,0,141.47014,41.125671,43.824806,17.643185,56.850689,0,52.929554,150.94725,5.513495,13.92038,120.20559,18.30409,44.579144,12.410972,39.929245,203.8768,26.026281,44.97266,145.24001,0.33281484,6.3923173,3.7183867,10.142398,463.40683,664.57593,85.675171,0,0,13.757783,269.36194,44.351311,112.99988,548.685,4120,66,216
CHEMBL1076346,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C=1O)CC1CCCCC1)C,T1/2,=,0.73299998,hr,14.890518,19674898,Bioorg. Med. Chem. Lett.,2009,19,18,5401,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C=1O)CC1CCCCC1)C,80.349373,0,0,3,5,7,0,6,0,69,3,10,37,23,119.88201,1.7374204,0,0,25,0,0,32,0,4,6,0,2,1.2220825,-2.8309963,-0.58663642,0.58272666,2.926333,-2.8248122,-0.51700324,0.66150969,2.9737232,-2.5722582,-0.42844155,0.704584,3.1777129,53.512623,5,0.11904762,6,74,3,42,4,5,0.11904762,65,0,26.112156,22.315136,15.482763,16.413485,17.515789,16.33103,9.1344471,10.157398,4,0,0.82561672,16,0,-0.91534078,-0.41809374,0.047424078,3.1613004,-0.99470276,-0.37171924,0.12017697,3.1982319,-0.53896886,-0.19970182,0.16510965,3.413892,27.183674,10.123967,5.1377778,24.682898,9.1671057,4.6428914,6.1154256,10,3,1,1,3.1830001,-5.62603,13.784856,0,1,30,0,6,6,3,0,0,2.9553583,-2.9553583,0.1044881,0.14966905,159.04642,43.047169,12.796158,30.829348,10.324173,12.949531,4.1846013,55.761471,46.434052,32.016521,2.5295215,32.016521,13.566921,7.9044313,0.8253237,0.41050202,0.11542315,0.17467627,0.58949798,0.05925313,382.46066,190.22945,53.487877,80.946182,273.1774,27.458305,0.5,1,0,0,0,0,1,0,0,0,1,0,463.40683,0,0,0,463.40683,0,8,0,6,0,0,0.75675678,3.2200999,0,141.47014,41.125671,43.824806,17.643185,56.850689,0,52.929554,150.94725,5.513495,13.92038,120.20559,18.30409,44.579144,12.410972,39.929245,203.8768,26.026281,44.97266,145.24001,0.33281484,6.3923173,3.7183867,10.142398,463.40683,664.57593,85.675171,0,0,13.757783,269.36194,44.351311,112.99988,548.685,4120,66,216
CHEMBL1077101,O=C1N(CC(=O)N(CCONC(N)=N)C)C(=CN=C1NCCc1ccc(cc1)C)C,T1/2,=,0.41299999,hr,26.427965,19647430,Bioorg. Med. Chem. Lett.,2009,19,17,5078,O=C1N(CC(=O)N(CCONC(N)=N)C)C(=CN=C1NCCc1ccc(cc1)C)C,64.642998,0,0,3,5,5,0,6,0,59,4,9,30,16,95.349556,1.6160942,0,0,20,0,0,29,0,7,3,0,0,1.7237645,-2.5772052,-0.47158501,0.41777959,2.5457683,-2.7455182,-0.43481463,0.4517481,2.4532378,-2.3035629,-0.23873319,0.60505581,2.8153546,40.155003,10,0.32258064,6,60,5,31,7,12,0.38709676,49,0,22.095648,17.566021,12.922285,14.112519,14.273765,9.59272,5.0671492,6.3457718,0,0,0.73760229,19,0,-0.85026765,-0.38664758,0.010530339,2.6291096,-1.3709316,-0.36503807,0.064449735,2.5931311,-0.5136863,-0.18631083,0.14158228,2.8917804,26.253902,13.525283,9.1875,18.798584,9.564167,6.4393873,5.9930935,10,5,1,0,0.088,-3.36375,11.322865,0,1,13,0,2,11,2,0,0,3.3148255,-3.3148255,0.088728145,0.11116862,128.51883,61.870541,13.192325,54.285629,28.631105,12.949531,0,48.405209,51.228157,0,0,11.022153,45.233006,6.7880106,0.77360255,0.35201886,0.13642032,0.22639745,0.64798117,0.08997713,357.50067,162.67653,63.043167,104.6238,299.44794,41.580635,0.47368422,0.89999998,0,0,0,0,1,0,0,0,1,0,462.12448,0,0,0,462.12448,0,10,0,2,0,0,1,0.10216,71.53302,20.993208,58.943195,76.244995,6.37115,71.307869,0,119.45906,0,66.652031,11.44295,58.943195,23.034157,70.3078,9.1278973,32.897186,106.6555,90.989571,99.549217,136.14,0.36176345,5.9541965,3.9541395,9.48769,462.12448,563.30902,38.718777,0,0,34.310326,286.13196,52.771198,90.771591,415.49799,3019,42,144
CHEMBL1077200,O1CC(Cc2cc(ccc12)C(=O)NCCCN(C)C)c1[nH]c2cc(ccc2n1)-c1nc(ncc1)N,T1/2,=,1.67,hr,6.5357785,19647430,Bioorg. Med. Chem. Lett.,2009,19,17,5078,O1CC(Cc2cc(ccc12)C(=O)NCCCN(C)C)c1[nH]c2cc(ccc2n1)-c1nc(ncc1)N,74.400993,0,0,4,6,7,0,21,0,64,4,11,35,23,99.25563,1.5508692,0,0,26,0,0,29,0,7,2,0,0,1.088725,-2.6483276,-0.57145983,0.58524781,2.5995569,-2.7331634,-0.53298521,0.66919184,2.6300948,-2.3720596,-0.39462602,0.73885512,2.8462653,41.177002,7,0.17948718,22,68,1,39,7,8,0.20512821,45,0,24.363232,19.914387,15.731687,17.543242,16.957531,11.732841,7.0568013,9.0656462,1,1,0.73269117,20,0,-0.86414772,-0.43633309,0.053432915,2.7530062,-1.3351334,-0.32635048,0.14070113,2.8274386,-0.52026725,-0.21251294,0.18105161,3.0299237,26.60092,12.24,6.7160492,19.209339,8.7479715,4.7641168,4.8012214,9,4,1,0,1.849,-5.44103,13.395305,1,1,27,0,5,8,3,0,0,2.8875308,-2.8875308,0.087292112,0.12188321,98.336113,86.162323,28.428589,32.919601,0,12.949531,0,152.81029,12.254904,0,0,17.047728,20.21804,2.7775381,0.88576782,0.44213504,0.086317964,0.11423218,0.55786496,0.027914207,410.91183,205.10851,40.043308,52.992836,258.79614,12.949531,0.5,1,0,0,0,0,1,0,0,0,1,0,463.90466,0,0,0,463.90466,0,10,0,5,0,0,1,3.00227,61.907825,58.739685,16.78553,57.805416,32.561287,84.662781,4.4107962,150.94725,18.868406,7.1425209,13.54183,23.862217,64.480789,34.79628,18.353294,12.129689,211.35065,63.064198,65.794373,122.05,0.34185782,6.2854023,4.0623403,9.9270086,463.90466,643.60675,27.435829,0,0,23.425066,330.42371,39.821667,62.226048,471.565,4395,55,188
CHEMBL1077334,o1cc(cc1)-c1nc2cc(ccc2n1C1CCCCC1)C(=O)NC1(CCCC1)C(=O)Nc1ccc(cc1)\C=C\C(O)=O,T1/2,=,1.28,hr,8.5271482,19674898,Bioorg. Med. Chem. Lett.,2009,19,18,5401,o1cc(cc1)-c1nc2cc(ccc2n1C1CCCCC1)C(=O)NC1(CCCC1)C(=O)Nc1ccc(cc1)\C=C\C(O)=O,89.160965,0,0,4,6,5,0,20,0,76,4,9,42,27,115.79411,1.5236067,0,0,33,0,0,34,0,4,5,0,0,1.0443608,-2.7739871,-0.67127311,0.70242995,2.785219,-2.7477288,-0.60789067,0.80591482,2.88743,-2.5212264,-0.49986199,0.85990518,3.0293155,46.579037,8,0.17021276,21,81,4,47,3,10,0.21276596,56,0,29.105873,23.344149,19.369514,21.700096,20.415453,14.614382,11.154371,13.711258,0,0,0.73955363,21,0,-0.84976965,-0.4430491,0.11797664,2.9573395,-1.1619508,-0.31494811,0.17939332,3.0449014,-0.53139472,-0.23674923,0.25409436,3.2264793,31.961069,14.6135,7.5353217,23.455513,10.638064,5.4545908,5.9409828,9,3,0,2,6.527,-9.0277395,15.978317,0,1,33,0,6,11,5,0,0,3.5404401,-3.5404401,0.08022324,0.13284086,101.08591,81.031769,38.226219,17.238026,10.324173,40.607563,0,122.79812,68.016373,0,0,5.6825762,40.700764,10.545078,0.79886466,0.4619858,0.10615892,0.20113535,0.53801423,0.094976433,428.39642,247.7429,56.928417,107.86015,288.51364,50.931732,0.47619048,0.90909094,0,0,0,0,1,0,0,0,1,0,536.25659,0,0,0,536.25659,0,11,0,6,0,0,1,6.6760998,18.01075,54.958405,47.724434,25.385227,30.233366,9.5073462,0,208.40329,191.4408,2.7567475,16.007469,81.093994,18.684622,43.395977,10.353119,30.569267,368.41718,35.906216,0,126.46,0.3002032,6.5545888,4.1322179,10.47566,536.25659,766.21625,32.816418,0,0,11.365152,333.78522,98.418831,71.315414,566.65796,6795,67,228
CHEMBL1077335,OC(=O)\C=C\c1ccc(NC(=O)C2(NC(=O)c3cc4nc(n(c4cc3)C3CCCCC3)-c3ncccc3)CCCC2)cc1,T1/2,=,1.12,hr,9.7453127,19647430,Bioorg. Med. Chem. Lett.,2009,19,17,5078,OC(=O)\C=C\c1ccc(NC(=O)C2(NC(=O)c3cc4nc(n(c4cc3)C3CCCCC3)-c3ncccc3)CCCC2)cc1,91.885757,0,0,4,6,6,0,21,0,78,4,10,43,30,118.15309,1.5147833,0,0,34,0,0,35,0,5,4,0,0,1.0492483,-2.7738543,-0.65286946,0.70144105,2.7852192,-2.7477288,-0.57979071,0.74001819,2.8873019,-2.52123,-0.48953605,0.85624135,3.029315,47.076244,8,0.16666667,22,83,4,48,3,10,0.20833333,57,0,29.812979,23.960464,19.946865,22.407202,20.915453,15.002774,11.532363,14.30301,0,0,0.73176932,21,0,-0.83803755,-0.45346186,0.11460775,2.9630342,-1.1619515,-0.32672238,0.16945206,3.0476642,-0.53139472,-0.2374723,0.23328032,3.2334938,32.921875,15.268599,7.9395084,23.779186,10.936922,5.6533828,6.0481653,9,3,0,2,6.8120599,-8.1397495,16.506153,0,1,34,0,6,11,5,0,0,3.4406209,-3.4406209,0.082550675,0.098237678,117.83182,73.11451,6.6995511,28.428589,10.324173,40.607563,0,135.05302,80.271278,0,0,5.6825762,46.383339,8.0413227,0.79900181,0.49857479,0.10880364,0.20099816,0.50142521,0.09219452,441.39877,275.43155,60.107239,111.03897,277.0062,50.931732,0.47619048,0.90909094,0,0,0,0,1,0,0,0,1,0,552.43774,0,0,0,552.43774,0,11,0,6,0,0,1,6.4780998,18.01075,71.743935,47.724434,25.385227,30.233366,0,0,220.66232,191.4408,2.7567475,16.560369,71.586647,35.47015,43.395977,10.353119,30.14044,381.10504,35.906216,0,126.21,0.29449749,6.5849624,4.1518059,10.545816,552.43774,789.43591,38.498993,0,0,11.365152,390.19272,51.798122,76.997986,577.685,7228,70,232
CHEMBL1079474,S1[C@@H]2N([C@@H](C1)C#N)C(=O)[C@H](NC(OCc1ccccc1)=O)C2,T1/2,=,2.23,hr,4.8945069,22765237,J. Med. Chem.,2012,55,14,6306,S1[C@@H]2N([C@@H](C1)C#N)C(=O)[C@H](NC(OCc1ccccc1)=O)C2,45.007896,0,0,1,2,3,0,6,0,37,1,4,22,13,66.033279,1.7846833,0,0,15,0,0,15,0,3,3,0,1,1.429196,-2.4779456,-0.52047688,0.58165962,2.7765934,-2.6772211,-0.48031351,0.67946321,2.6953259,-2.2351804,-0.39088297,0.71602696,3.0558033,25.810104,3,0.125,6,39,2,24,3,6,0.25,30,1,15.526733,12.58404,8.7401228,9.828063,10.685872,8.042798,4.0663323,5.1910715,3,0,0.81057996,13,0,-0.81894368,-0.39757201,0.079449415,2.5666533,-1.1618298,-0.35163751,0.16445385,2.5354669,-0.51868778,-0.21321768,0.19305076,2.8294325,16.84375,7.7134986,3.9256198,13.127686,5.9351487,2.9925604,3.5415802,6,1,1,0,1.161,-3.42384,8.3910294,0,1,15,1,3,4,0,0,0,2.081274,-2.081274,0.17373307,0.15399992,36.440231,83.02668,6.2919211,8.6190128,12.949531,0,19.199511,2.2085397,61.274521,19.760618,17.742489,13.566921,16.070677,0.13689101,0.79170495,0.43984571,0.10015384,0.20829508,0.56015426,0.10814124,235.36401,130.76065,29.774488,61.923531,166.52689,32.14904,0.46153846,0.85714287,0,0,0,0,1,0,0,0,1,0,297.28754,0,0,0,297.28754,0,7,0,3,0,0,1,1.7451839,18.01075,15.699734,45.173168,64.894669,3.185575,0,0,88.215919,18.868406,77.008018,8.0866699,58.724319,34.18367,18.01075,30.098387,0,128.01059,29.808985,32.21954,82.43,0.46637034,5.5849624,3.456872,8.5877075,297.28754,391.53323,44.876331,0,0,5.6825762,178.73787,54.952305,50.558907,317.36899,1182,31,114
